id,topColor,bottomColor,ageRange,queueStartTime,accessoriesList
1,#913d47,#bddc34,68,2022-10-01T21:15:57Z,Cap
2,#fea7a9,#abffcd,78,2022-04-27T15:37:34Z,Cap
3,#4be0ec,#7c96a5,71,2023-01-05T19:08:41Z,Backpack
4,#3fb7c5,#3006a4,19,2022-08-07T21:19:36Z,Cap
5,#bcf542,#dbfc50,19,2022-05-10T13:44:16Z,Cap
6,#56563c,#aec828,62,2022-02-02T18:39:06Z,Cap
7,#4f05c3,#0a15c2,56,2022-08-18T18:06:13Z,Laptop Bag
8,#d9550d,#f9b19b,53,2022-08-11T06:09:09Z,Laptop Bag
9,#7fec40,#a2ee75,7,2022-04-25T18:46:52Z,Backpack
10,#9f1b36,#0a00d3,36,2022-10-08T13:39:24Z,Laptop Bag
11,#42dbbf,#7f4696,76,2022-07-26T20:29:34Z,Laptop Bag
12,#3bd1c4,#ff927b,80,2022-06-13T17:16:21Z,Cap
13,#bf7efb,#eaee2f,69,2022-12-11T12:28:36Z,Laptop Bag
14,#7da02e,#cbae1d,39,2022-03-24T16:37:29Z,Cap
15,#e5268e,#22424a,61,2022-09-19T10:54:50Z,Backpack
16,#eddfcf,#528d5d,38,2023-01-02T09:39:31Z,Backpack
17,#c130a6,#e41370,36,2022-07-08T08:56:40Z,Cap
18,#eefabc,#0b6995,27,2022-08-31T14:50:52Z,Laptop Bag
19,#b0048a,#808ccc,75,2022-03-17T11:48:21Z,Cap
20,#36fade,#d082f8,57,2022-07-14T12:51:23Z,Backpack
21,#52fa88,#371785,28,2022-09-20T20:42:45Z,Cap
22,#ebd5b6,#3dd84f,19,2022-09-05T10:45:54Z,Laptop Bag
23,#f3baa3,#d60ff1,9,2022-05-08T18:55:50Z,Backpack
24,#23b79b,#a3fa0f,19,2022-04-05T02:15:29Z,Backpack
25,#8f6052,#860468,58,2022-12-22T15:44:51Z,Laptop Bag
26,#6bb46a,#823c82,38,2022-02-15T22:27:49Z,Cap
27,#0f8b0c,#85ce33,40,2022-07-27T08:19:42Z,Cap
28,#aa9925,#86e594,8,2022-07-13T16:15:16Z,Laptop Bag
29,#89d584,#b81392,17,2022-05-22T14:31:06Z,Laptop Bag
30,#16442d,#223946,34,2022-01-21T18:41:13Z,Cap
31,#c67dd4,#1051f7,67,2022-01-12T03:16:57Z,Backpack
32,#b9fe4a,#e4ac13,34,2022-02-13T18:05:24Z,Backpack
33,#faf807,#32f79f,24,2022-06-27T14:53:33Z,Backpack
34,#abc7c5,#b0ec88,23,2022-06-14T04:57:10Z,Backpack
35,#88fa4f,#7ce2ff,75,2022-03-01T03:46:09Z,Laptop Bag
36,#80606e,#23dab3,65,2022-10-25T17:19:48Z,Laptop Bag
37,#693e67,#0aa646,20,2022-10-19T01:39:57Z,Cap
38,#7fe817,#22eb45,67,2022-01-22T18:16:39Z,Cap
39,#276214,#116770,41,2022-09-14T05:46:54Z,Laptop Bag
40,#ed9b9f,#0db56c,32,2022-11-28T06:55:36Z,Laptop Bag
41,#bde65f,#b8cc88,34,2022-04-14T17:14:02Z,Laptop Bag
42,#8efef7,#16ba7f,10,2022-03-19T07:28:30Z,Laptop Bag
43,#b4a6da,#5a4a65,14,2022-03-17T05:34:08Z,Backpack
44,#80eee0,#c82b96,36,2022-05-30T09:01:53Z,Backpack
45,#fbf048,#756f24,76,2022-04-17T00:50:18Z,Laptop Bag
46,#e2b3f3,#8889ae,69,2022-07-24T10:03:03Z,Laptop Bag
47,#cf8aa9,#afdbeb,51,2022-08-18T10:33:55Z,Cap
48,#7c8717,#f60db5,37,2022-08-19T05:38:40Z,Cap
49,#285b59,#42e8ca,44,2022-08-09T16:58:16Z,Laptop Bag
50,#896e1e,#109be4,9,2022-12-21T04:13:52Z,Cap
51,#6d8a02,#845e7e,41,2022-03-04T15:52:42Z,Laptop Bag
52,#21da0f,#d67736,36,2022-02-21T07:22:08Z,Laptop Bag
53,#762a4f,#32a8fd,25,2022-09-12T03:59:55Z,Laptop Bag
54,#841793,#b6db1a,26,2022-03-26T08:41:49Z,Backpack
55,#ca5521,#13c419,77,2022-05-03T03:10:47Z,Backpack
56,#ccc1d5,#c8e124,36,2022-11-14T19:02:29Z,Laptop Bag
57,#f5d613,#bf4bd7,31,2022-12-14T02:52:36Z,Laptop Bag
58,#aa7c8b,#f33bc7,45,2022-09-26T21:36:41Z,Laptop Bag
59,#014e0a,#d5275a,53,2022-01-25T17:30:00Z,Laptop Bag
60,#96ecd4,#ae0dad,59,2022-06-16T21:57:35Z,Backpack
61,#f5019b,#94dc02,27,2022-06-21T00:37:38Z,Laptop Bag
62,#932f2c,#5a8ff2,12,2022-08-02T00:07:21Z,Laptop Bag
63,#ec367f,#9ed829,12,2022-10-06T01:02:53Z,Cap
64,#e0b88c,#bcc053,45,2022-10-19T06:50:24Z,Cap
65,#69c753,#5d42c2,16,2022-02-28T02:36:35Z,Cap
66,#59f1b5,#5ce23f,77,2022-08-06T09:19:36Z,Backpack
